open_time,open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2025-10-11 10:14:00,3833.12,3834.61,3833.1,3833.73,198.8551,762376.813334,2345.0,86.9966,333530.586132
2025-10-11 10:15:00,3833.73,3834.92,3832.0,3832.01,336.7382,1290804.279646,4222.0,149.2219,572003.251767
2025-10-11 10:16:00,3832.0,3832.71,3829.52,3829.53,233.4508,894385.251574,3242.0,46.734,179034.59853
2025-10-11 10:17:00,3829.52,3829.52,3825.0,3825.82,334.6284,1280565.139573,5904.0,137.9662,527925.369552
2025-10-11 10:18:00,3825.83,3832.94,3825.82,3828.21,256.5881,982728.806992,5736.0,81.4049,311786.012678
2025-10-11 10:19:00,3828.2,3828.5,3825.78,3828.15,307.7549,1177757.988735,4287.0,167.0904,639440.667382
2025-10-11 10:20:00,3828.14,3832.8,3827.8,3832.46,214.6387,822068.753968,2549.0,158.0281,605262.500073
2025-10-11 10:21:00,3832.45,3838.77,3831.85,3837.99,699.6936,2684073.728019,3813.0,471.8676,1809845.310612
2025-10-11 10:22:00,3838.0,3838.21,3835.1,3836.05,311.9191,1196721.673038,4860.0,150.1119,575884.998962
2025-10-11 10:23:00,3836.05,3836.47,3834.0,3835.54,158.9997,609773.245694,3407.0,84.081,322460.901792
2025-10-11 10:24:00,3835.54,3835.54,3833.5,3834.82,178.8976,685983.76448,3854.0,84.2381,322999.326157
2025-10-11 10:25:00,3834.82,3842.05,3834.82,3841.84,440.5172,1690794.676888,4625.0,281.1007,1078988.639057
2025-10-11 10:26:00,3841.85,3849.45,3841.85,3847.43,1103.1622,4243695.880363,8171.0,722.3763,2778526.670432
2025-10-11 10:27:00,3847.43,3849.08,3846.48,3847.88,257.9773,992582.847243,5362.0,95.6422,367990.441266
2025-10-11 10:28:00,3847.88,3854.5,3847.87,3850.87,1434.2825,5524298.950935,6359.0,458.4726,1765621.030934
2025-10-11 10:29:00,3850.86,3854.55,3848.43,3854.3,808.4867,3114329.849226,5035.0,536.4973,2066358.722391
2025-10-11 10:30:00,3854.3,3857.24,3854.12,3856.54,386.6966,1490897.83441,5845.0,299.8135,1155901.625302
2025-10-11 10:31:00,3856.54,3856.67,3848.85,3849.68,823.7,3173463.08175,7311.0,420.1639,1619046.453243
2025-10-11 10:32:00,3849.69,3851.4,3848.0,3848.43,2479.3043,9541952.814495,5946.0,367.8496,1415966.920511
2025-10-11 10:33:00,3848.44,3849.01,3843.2,3843.41,709.3712,2728839.415368,5252.0,301.7313,1160649.173943
2025-10-11 10:34:00,3843.42,3843.62,3835.89,3835.9,576.8223,2214726.96142,5615.0,220.3348,846090.986598
